일자(원본),활동 유형,설명,량,단위
2023-01-01,전기,한국전력,95,kWh
2023-02-01,전기,한국전력,98,kWh
2023-03-01,전기,한국전력,102,kWh
2023-04-01,전기,한국전력,108,kWh
2023-05-01,전기,한국전력,105,kWh
2023-06-01,전기,한국전력,100,kWh
2023-07-01,전기,한국전력,110,kWh
2023-08-01,전기,한국전력,103,kWh
2023-09-01,전기,한국전력,99,kWh
2023-10-01,전기,한국전력,97,kWh
2023-11-01,전기,한국전력,101,kWh
2023-12-01,전기,한국전력,106,kWh
2024-01-01,전기,한국전력,105,kWh
2024-02-01,전기,한국전력,108,kWh
2024-03-01,전기,한국전력,110,kWh
2024-04-01,전기,한국전력,118,kWh
2024-05-01,전기,한국전력,115,kWh
2024-06-01,전기,한국전력,108,kWh
2024-07-01,전기,한국전력,118,kWh
2024-08-01,전기,한국전력,109,kWh
2024-09-01,전기,한국전력,106,kWh
2024-10-01,전기,한국전력,104,kWh
2024-11-01,전기,한국전력,108,kWh
2024-12-01,전기,한국전력,112,kWh
2025-01-01,전기,한국전력,110,kWh
2025-02-01,전기,한국전력,112,kWh
2025-03-01,전기,한국전력,115,kWh
2025-04-01,전기,한국전력,130,kWh
2025-05-01,전기,한국전력,120,kWh
2025-05-01,전기,한국전력,101,kWh
2025-06-01,전기,한국전력,110,kWh
2025-07-01,전기,한국전력,120,kWh
2025-08-01,전기,한국전력,111,kWh
2025-09-01,전기,한국전력,108,kWh
2025-10-01,전기,한국전력,115,kWh
2025-11-01,전기,한국전력,112,kWh
2025-12-01,전기,한국전력,118,kWh
2026-01-01,전기,한국전력,120,kWh
2026-02-01,전기,한국전력,115,kWh
2026-03-01,전기,한국전력,118,kWh
2026-04-01,전기,한국전력,122,kWh
2026-04-28,전기,한국전력,28,kWh
2026-04-29,전기,한국전력,30,kWh
2026-04-30,전기,한국전력,32,kWh
2026-05-01,전기,한국전력,31,kWh
2026-05-02,전기,한국전력,29,kWh
2026-05-03,전기,한국전력,33,kWh
2026-05-04,전기,한국전력,30,kWh
2026-05-05,전기,한국전력,28,kWh
2026-05-06,전기,한국전력,31,kWh
2026-05-07,전기,한국전력,30,kWh
2023-01-01,원소재,플라스틱 1,180,kg
2023-02-01,원소재,플라스틱 1,210,kg
2023-03-01,원소재,플라스틱 1,320,kg
2023-04-01,원소재,플라스틱 1,380,kg
2023-05-01,원소재,플라스틱 1,350,kg
2023-06-01,원소재,플라스틱 1,330,kg
2023-07-01,원소재,플라스틱 1,290,kg
2023-08-01,원소재,플라스틱 1,270,kg
2023-09-01,원소재,플라스틱 1,310,kg
2023-10-01,원소재,플라스틱 1,340,kg
2023-11-01,원소재,플라스틱 1,300,kg
2023-12-01,원소재,플라스틱 1,280,kg
2023-06-01,원소재,플라스틱 2,18,kg
2023-09-01,원소재,플라스틱 2,22,kg
2023-12-01,원소재,플라스틱 2,20,kg
2024-01-01,원소재,플라스틱 1,200,kg
2024-02-01,원소재,플라스틱 1,310,kg
2024-03-01,원소재,플라스틱 1,400,kg
2024-04-01,원소재,플라스틱 1,460,kg
2024-05-01,원소재,플라스틱 1,390,kg
2024-06-01,원소재,플라스틱 1,410,kg
2024-07-01,원소재,플라스틱 1,320,kg
2024-08-01,원소재,플라스틱 1,210,kg
2024-09-01,원소재,플라스틱 1,340,kg
2024-10-01,원소재,플라스틱 1,380,kg
2024-11-01,원소재,플라스틱 1,330,kg
2024-12-01,원소재,플라스틱 1,290,kg
2024-03-01,원소재,플라스틱 2,25,kg
2024-06-01,원소재,플라스틱 2,30,kg
2024-09-01,원소재,플라스틱 2,28,kg
2024-12-01,원소재,플라스틱 2,32,kg
2025-01-01,원소재,플라스틱 1,230,kg
2025-02-01,원소재,플라스틱 1,340,kg
2025-03-01,원소재,플라스틱 1,430,kg
2025-03-01,원소재,플라스틱 2,23,kg
2025-04-01,원소재,플라스틱 1,510,kg
2025-05-01,원소재,플라스틱 1,424,kg
2025-05-01,원소재,플라스틱 1,232,kg
2025-05-01,원소재,플라스틱 2,40,kg
2025-06-01,원소재,플라스틱 1,450,kg
2025-07-01,원소재,플라스틱 1,340,kg
2025-07-01,원소재,플라스틱 2,43,kg
2025-08-01,원소재,플라스틱 1,230,kg
2025-09-01,원소재,플라스틱 1,280,kg
2025-10-01,원소재,플라스틱 1,320,kg
2025-11-01,원소재,플라스틱 1,290,kg
2025-12-01,원소재,플라스틱 1,310,kg
2026-01-01,원소재,플라스틱 1,350,kg
2026-02-01,원소재,플라스틱 1,320,kg
2026-03-01,원소재,플라스틱 1,340,kg
2026-04-01,원소재,플라스틱 1,360,kg
2026-04-28,원소재,플라스틱 1,85,kg
2026-04-29,원소재,플라스틱 1,90,kg
2026-04-30,원소재,플라스틱 1,88,kg
2026-05-01,원소재,플라스틱 1,92,kg
2026-05-02,원소재,플라스틱 1,87,kg
2026-05-03,원소재,플라스틱 1,95,kg
2026-05-04,원소재,플라스틱 1,89,kg
2026-05-05,원소재,플라스틱 1,91,kg
2026-05-06,원소재,플라스틱 1,88,kg
2026-05-07,원소재,플라스틱 1,93,kg
2023-01-01,운송,트럭,35,ton-km
2023-02-01,운송,트럭,180,ton-km
2023-03-01,운송,트럭,110,ton-km
2023-04-01,운송,트럭,38,ton-km
2023-05-01,운송,트럭,115,ton-km
2023-06-01,운송,트럭,112,ton-km
2023-07-01,운송,트럭,38,ton-km
2023-08-01,운송,트럭,118,ton-km
2023-09-01,운송,트럭,95,ton-km
2023-10-01,운송,트럭,42,ton-km
